id,name,nrate,pic_url
21763,Mr. Jack,12864,https://cf.geekdo-images.com/micro/img/VXDtrkgb9KZS86TDaNJFqTApR9Y=/fit-in/64x64/pic3066125.jpg
176494,Isle of Skye: From Chieftain to King,12857,https://cf.geekdo-images.com/micro/img/hFWkZUW6BeIK7OBXWuH5WEPmAr0=/fit-in/64x64/pic2524838.jpg
171623,The Voyages of Marco Polo,12854,https://cf.geekdo-images.com/micro/img/D8lmO9H-rtq03Idsq3t2VuddVrw=/fit-in/64x64/pic2461346.png
3,Samurai,12820,https://cf.geekdo-images.com/micro/img/4XUy5QxQQfMHjx7pm2JpkJrTdDQ=/fit-in/64x64/pic3211873.jpg
164928,Orléans,12801,https://cf.geekdo-images.com/micro/img/EFMKhgiJOEON4d5NLvLDLnS2VyY=/fit-in/64x64/pic2578828.png
161970,Alchemists,12701,https://cf.geekdo-images.com/micro/img/dWCgzWB2FvTyJ_4ENHXC0_Ci768=/fit-in/64x64/pic2241156.png
29368,Last Night on Earth: The Zombie Game,12652,https://cf.geekdo-images.com/micro/img/bdT12fDfd82ZgYUWtjR_IU6wFQQ=/fit-in/64x64/pic207777.jpg
823,Lord of the Rings,12583,https://cf.geekdo-images.com/micro/img/h-SNzp7mE0GGJsZEnRMIETo14z8=/fit-in/64x64/pic479124.jpg
51811,Dominion: Seaside,12568,https://cf.geekdo-images.com/micro/img/SPeMazH9w5_pyA6JsDALFJjNjp0=/fit-in/64x64/pic543471.jpg
77130,Sid Meier's Civilization: The Board Game,12543,https://cf.geekdo-images.com/micro/img/Ku2ulqlYWhfN_FVhjpnN7VUOza4=/fit-in/64x64/pic798666.jpg
28023,Jamaica,12523,https://cf.geekdo-images.com/micro/img/u6ivW8FsFw80s0WJUNODaUL_IiQ=/fit-in/64x64/pic1502119.jpg
188,Go,12502,https://cf.geekdo-images.com/micro/img/ncEmbZZ97K1tiF6nCduIx9Ub75Q=/fit-in/64x64/pic1728832.jpg
205059,Mansions of Madness: Second Edition,12496,https://cf.geekdo-images.com/micro/img/_CpxsrtrFi4YLVvlgHkQG4OkU2I=/fit-in/64x64/pic3118622.jpg
43111,Chaos in the Old World,12478,https://cf.geekdo-images.com/micro/img/wG7q63zFJFcC2siQ8AXlVdNHW4I=/fit-in/64x64/pic1318481.jpg
48726,Alien Frontiers,12463,https://cf.geekdo-images.com/micro/img/zxR7Tn0sR-Ck7zZNIwrHFin4lsk=/fit-in/64x64/pic3360924.png
27588,Zooloretto,12457,https://cf.geekdo-images.com/micro/img/yj_QJBbRYTwqX7x-M2SjecLjSN0=/fit-in/64x64/pic187388.jpg
182028,Through the Ages: A New Story of Civilization,12423,https://cf.geekdo-images.com/micro/img/APvZ_BYOt4ElpIXVl7i6wUp2BvM=/fit-in/64x64/pic2663291.jpg
2807,Catan: 5-6 Player Extension,12385,https://cf.geekdo-images.com/micro/img/4FvUNMDeRGhsws_SfyrLtuX1fYQ=/fit-in/64x64/pic2420287.jpg
102652,Sentinels of the Multiverse,12385,https://cf.geekdo-images.com/micro/img/AasDBGuSMYph_XTHJu2DE6X7xx8=/fit-in/64x64/pic1296144.jpg
205637,Arkham Horror: The Card Game,12168,https://cf.geekdo-images.com/micro/img/PDfjVra2DLzQpFj7dnATf81lSik=/fit-in/64x64/pic3122349.jpg
183394,Viticulture Essential Edition,12154,https://cf.geekdo-images.com/micro/img/L5giS2YYwyYZhAchWHSELlJ7U2U=/fit-in/64x64/pic2649952.jpg
